id,AT2G26070,AT3G23150,AT4G24670,AT5G25350,AT5G55620
AT3G15210,-0.500000783236,-0.613475883249,-0.536403550266,-0.156351910927,-0.232883234541
AT1G25560,0.805617086553,0.754916886294,0.583454449465,0.913092572574,0.79575401498
AT1G68840,0.493061712237,0.584630702939,0.324673898585,0.581131874098,0.359656429212
AT4G16750,-0.68664859589,-0.706750662977,-0.452953926906,-0.768038992303,-0.57916076848
AT5G13910,0.923474091251,0.890668505283,0.792232107399,0.83052521879,0.800707657479
AT1G28370,0.89109775356,0.751593873159,0.686962664526,0.964327624119,0.936272917162
AT1G64380,0.158483534051,0.428247524965,0.291937199754,-0.366001432801,-0.333638359313
AT1G74840,0.394749558525,0.624928718256,0.610058966258,-0.186963757837,-0.0371987032791
AT3G23240,0.848433661621,0.766284606999,0.620589263852,0.949311948109,0.877304473775
AT3G61630,0.408349816497,0.502286008529,0.656158543624,-0.245902512286,0.0256096722935
AT4G11140,-0.136185855405,-0.382324168564,-0.324717317337,0.452096480741,0.337595272591
AT4G17500,0.393448441313,0.320750861026,0.159999340342,0.842617291881,0.604332873394
AT5G47220,0.896346759221,0.800517302781,0.775585692781,0.9387165939,0.946878835628
AT5G47230,0.327071686023,0.493883929301,0.135054731572,0.301698601814,0.0515626392461
AT1G44830,0.372865642473,0.158942818329,0.0502006757099,0.829284255175,0.677111406636
AT3G16770,0.627447684478,0.816383296098,0.749501497725,0.0928966762142,0.201324129871
AT4G05100,-0.691526254689,-0.447565819538,-0.620290172462,-0.814626629708,-0.922295137839
AT5G17490,-0.841385450539,-0.952747894376,-0.863898109154,-0.382226919164,-0.494135236063
AT5G64750,0.23263967104,-0.0492193199672,-0.030191566317,0.715236602766,0.617848929498
