id,AT2G40940,AT3G15356,AT3G62680
AT3G15210,-0.669981228012,0.384127622695,-0.760229760042
AT1G25560,0.79158593692,-0.440961601015,0.376244752864
AT1G68840,0.680855481856,-0.197921267739,0.427980139961
AT4G16750,-0.803827400191,0.239643814426,-0.413771728935
AT5G13910,0.891670403382,-0.594918607153,0.623406427023
AT1G28370,0.736975653907,-0.547388557571,0.317559796363
AT1G64380,0.493866567958,0.0720707727259,0.763540523602
AT1G74840,0.567258197928,-0.323517365599,0.893467538646
AT3G23240,0.783604657729,-0.468552998829,0.33267940281
AT3G61630,0.424462401669,-0.409145368754,0.817793454001
AT4G11140,-0.422428823961,0.0126676410106,-0.780580663221
AT4G17500,0.334213049106,-0.291960254101,-0.0873164817232
AT5G47220,0.728776678765,-0.731636906096,0.426972077123
AT5G47230,0.675125182834,0.187438439597,0.421956705075
AT1G44830,0.211717965184,-0.0952099576499,-0.364431215526
AT3G16770,0.803687681588,-0.432212507631,0.987782923476
AT4G05100,-0.320328145061,0.765510672108,-0.100637750998
AT5G17490,-0.946450678389,0.505039102662,-0.931706077683
AT5G64750,-0.0592017340108,-0.103383853874,-0.551873506807
AT1G72360,0.390769816325,-0.871041650782,0.240858540102
AT3G03450,-0.895578754268,0.475807094977,-0.952001959858
AT4G39780,0.790314508419,-0.51956962489,0.982060275816
